Licenciatura,1ero,Promedio,2do,3ero
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.96,7.746666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,4.48,1.4933333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.34,7.683333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,5.6,4.2,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.7,7.233333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.08,7.6433333333333335,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.79,4.263333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.0,8.166666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,10.0,8.19,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.21,6.496666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.95,6.363333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.56,4.8533333333333335,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.21,8.496666666666668,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.68,8.273333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.8,2.6,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.75,7.390000000000001,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.47,6.773333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.0,7.140000000000001,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.31,7.436666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.91,9.303333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.34,7.66,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.13,7.043333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.16,8.36,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.57,2.19,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.7,9.493333333333332,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.36,9.236666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.68,8.676666666666668,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.55,5.016666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.54,7.963333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.28,6.093333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.3,7.933333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.24,5.483333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.32,8.700000000000001,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.39,7.913333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.57,5.14,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.12,9.013333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.37,8.836666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.69,8.536666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.23,2.146666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.28,8.853333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.76,5.323333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.7,7.349999999999999,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.69,8.396666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.02,8.243333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.25,9.273333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.07,7.256666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.59,8.243333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.31,8.196666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.32,8.34,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.5,7.8066666666666675,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.54,8.63,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.54,9.296666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.14,2.38,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.81,4.673333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.35,8.9,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.4,9.18,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.51,4.836666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.54,9.44,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.17,4.746666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.1,8.340000000000002,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.78,4.21,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.94,8.813333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.33,6.010000000000001,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.4,6.226666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.54,8.37,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.32,9.366666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.95,8.883333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.68,4.636666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.7,4.566666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.26,8.263333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.7,8.666666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.34,8.163333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
